NAME	X	Y
TYPE	numeric	numeric
MGH36_P1_G04	0.482646124	0.535293593
MGH36_P1_G07	0.484092225	0.382165466
MGH36_P1_G08	0.473034252	0.592025231
MGH36_P1_G09	0.305158644	0.410397974
MGH36_P1_H02	0.529215986	0.159570494
MGH36_P1_H03	0.513216658	0.409426276
MGH36_P1_H04	0.717189529	0.412142486
MGH36_P1_H05	0.413238631	0.449156784
MGH36_P1_H06	1.698475637	0.650864558
MGH36_P1_H07	0.267613022	0.553402678
MGH36_P1_H09	0.538346887	0.424396997
MGH36_P1_H10	0.832634378	0.326208133
MGH36_P3_A01	0.251311307	0.488064129
MGH36_P3_A03	0.330278416	0.298149379
MGH36_P3_A04	0.376928453	0.255857686
MGH36_P3_A05	0.441741147	0.513374681
MGH36_P3_A08	0.367572888	0.281195489
MGH36_P3_A09	0.964551384	0.677366983
MGH36_P3_A10	1.458680363	0.91044361
MGH36_P3_A12	0.678072469	0.407162111
MGH36_P3_B02	0.557867964	0.437500387
MGH36_P3_B04	0.535432436	0.50253764
MGH36_P3_B10	0.5374861	0.278343526
MGH36_P3_B11	0.703076935	0.433337878
MGH36_P3_B12	0.37099524	0.692264209
MGH36_P3_C01	0.288181939	0.248113145
MGH36_P3_C03	0.149362977	0.346121133
MGH36_P3_C04	0.465622886	0.257633479
MGH36_P3_C05	0.46031104	0.299858822
MGH36_P3_C06	0.469260714	0.25127817
MGH36_P3_C08	0.097587254	0.186318346
MGH36_P3_C11	0.441376303	0.528178951
MGH36_P3_C12	0.519277687	0.34585441
MGH36_P3_D01	0.159627065	0.383969097
MGH36_P3_D02	0.754025772	0.554586701
MGH36_P3_D03	0.474460095	0.4233458
MGH36_P3_D04	0.295421188	0.280774901
MGH36_P3_D07	0.414946886	0.131486729
MGH36_P3_D08	0.600203095	0.183819623
MGH36_P3_D09	0.711898124	0.197307896
MGH36_P3_D11	0.754984816	0.458647449
MGH36_P3_E02	0.335337372	0.390280596
MGH36_P3_E04	0.678991954	0.413346971
MGH36_P3_E05	0.730705689	0.516132262
MGH36_P3_E08	0.554797005	0.109531057
MGH36_P3_E09	0.781242568	0.649253248
MGH36_P3_E10	0.405750035	0.347358325
MGH36_P3_E11	0.424885521	0.542723679
MGH36_P3_E12	1.565439614	0.592621569
MGH36_P3_F02	0.176330579	0.37871189
MGH36_P3_F05	0.794445131	0.298589517
MGH36_P3_F06	0.590864066	0.199956721
MGH36_P3_F07	0.125362504	0.38383819
MGH36_P3_F08	0.840330925	0.372427829
MGH36_P3_F09	0.658560401	0.059573046
MGH36_P3_F10	0.895255828	0.417324883
MGH36_P3_F11	0.314553332	0.443345893
MGH36_P3_F12	0.750668505	0.368933319
MGH36_P3_G01	0.419657028	0.428136285
MGH36_P3_G02	0.232986609	0.392471248
MGH36_P3_G03	0.37337928	0.218835566
MGH36_P3_G04	0.664450755	0.380750705
MGH36_P3_G05	0.399912542	0.397612622
MGH36_P3_G06	0.625011497	0.605602236
MGH36_P3_G08	0.360752155	0.156013433
MGH36_P3_G09	0.704368274	0.224092945
MGH36_P3_G10	0.675268543	0.466279955
MGH36_P3_G11	0.290980038	0.36549263
MGH36_P3_G12	0.696286737	0.387419382
MGH36_P3_H03	1.078062039	0.127026848
MGH36_P3_H04	1.097948601	0.534702297
MGH36_P3_H05	0.384447157	0.163378071
MGH36_P3_H07	0.286610938	0.357077501
MGH36_P3_H08	0.580914505	0.345498376
MGH36_P3_H11	0.656499848	0.482813387
MGH36_P3_H12	0.493899004	0.524222549
MGH36_P4_A01	0.32072436	0.472862011
MGH36_P4_A02	0.394274757	0.244821253
MGH36_P4_A03	0.686815978	0.79691744
MGH36_P4_A06	2.868940895	0.986597487
MGH36_P4_A07	2.146057846	4.488058097
MGH36_P4_A08	0.274539875	0.415819281
MGH36_P4_A11	0.616401412	0.420456695
MGH36_P4_A12	0.69454909	0.195503056
MGH36_P4_B02	0.592818187	0.231447789
MGH36_P4_B04	0.36537705	0.231045783
MGH36_P4_B05	0.63200055	0.53236763
MGH36_P4_B06	0.460993659	0.177810281
MGH36_P4_B08	0.542998767	0.458490807
MGH36_P4_B09	0.611429384	0.537505839
MGH36_P4_B12	0.255018738	0.343655177
MGH36_P4_C02	0.393060956	0.397562823
MGH36_P4_C03	0.432480846	0.274353567
